dir_id,inventory_number,name,has_tif,has_tfw,has_georef
001361,T.E-08.23,Jaskinia Mała pod Zamkiem,True,False,False
001362,T.E-08.24,Szczelina pod Niżnią Zbójnicką Turnią,True,False,False
001363,T.E-08.25,Jaskinia Ziobrowa,True,False,False
001364,T.E-08.27,Jaskinia pod Niżnią Zbójnicką Turnią,True,False,False
001365,T.E-08.26,Mała Szczelina,True,False,False
001366,T.E-08.28,Sokole Okno,True,False,False
001367,T.E-08.29,Jaskinia Wodna pod Raptawicką Turnią,True,False,False
001386,T.E-08.02,Jaskinia za Smrekiem,True,False,False
001387,T.E-08.03,Jaskinia Raptawicka,True,False,False
001388,T.E-08.10,Dziura pod Mylną,True,False,False
001389,T.E-08.11,Jaskinia przy Żlebie,True,False,False
001390,T.E-08.12,Dziura nad Mylną,True,False,False
001391,T.E-08.13,Szczelina nad Mylną,True,False,False
001392,T.E-08.14,Dziura nad Jaskinią Raptawicką I,True,False,False
001393,T.E-08.15,Dziura nad Jaskinią Raptawicką II,True,False,False
001394,T.E-08.16,Dzwonnica,True,False,False
001395,T.E-08.17,Groby,True,False,False
001396,T.E-08.18,Jaskinia Poszukiwaczy Skarbów,True,False,False
001397,T.E-08.19,Dziura ze Znakami,True,False,False
001398,T.E-08.20,Jaskinia Wodna pod Pisaną,True,False,False
001399,T.E-08.31,Zamulona Dziura,True,False,False
001400,T.E-08.21,Wyzior,True,False,False
001401,T.E-08.32,Jaskinia pod Jaworem,True,False,False
001402,T.E-08.33,Schron przy Smoczej Jamie,True,False,False
001403,T.E-08.22,Dziura w Ścianie,True,False,False
001404,T.E-08.34,Korytarzyk pod Zamkiem,True,False,False
001405,T.E-08.36,Szczelina nad Żlebem,True,False,False
001406,T.E-08.37,Raptawicki Tunelik,True,False,False
001407,T.E-08.39,Zbójnicki Korytarzyk,True,False,False
001408,T.E-09.01,Gawra,True,False,False
001409,T.E-08.40,Zbójnicka Szczelina,True,False,False
001410,T.E-08.41,Szczelina przy Mostku,True,False,False
001411,T.E-08.42,Dziura nad Głazem,True,False,False
001412,T.E-09.02,Jaskinia Jagnięca,True,False,False
